Date,Amount
"1/5/2026","$47,880.64"
"1/4/2026","$47,831.04"
"1/3/2026","$47,831.04"
"1/2/2026","$47,831.04"
"1/1/2026","$47,808.61"
"12/31/2025","$47,808.61"
"12/30/2025","$47,854.84"
"12/29/2025","$47,833.12"
"12/28/2025","$47,867.29"
"12/27/2025","$47,867.29"
"12/26/2025","$47,867.29"
"12/25/2025","$47,853.40"
"12/24/2025","$47,853.40"
"12/23/2025","$47,771.86"
"12/22/2025","$47,722.54"
"12/21/2025","$47,665.67"
"12/20/2025","$47,665.67"
"12/19/2025","$47,665.67"
"12/18/2025","$47,641.28"
"12/17/2025","$47,579.98"
"12/16/2025","$47,656.81"
"12/15/2025","$47,666.40"
"12/14/2025","$47,715.54"
"12/13/2025","$47,715.54"
"12/12/2025","$47,715.54"
"12/11/2025","$47,798.71"
"12/10/2025","$47,758.67"
"12/9/2025","$47,768.70"
"12/8/2025","$47,794.95"
"12/7/2025","$47,841.79"
"12/6/2025","$47,841.79"
"12/5/2025","$47,841.79"
"12/4/2025","$47,806.47"
"12/3/2025","$47,802.71"
"12/2/2025","$47,798.80"
"12/1/2025","$47,722.56"
"11/30/2025","$47,821.16"
"11/29/2025","$47,821.16"
"11/28/2025","$47,821.16"
"11/27/2025","$47,742.57"
"11/26/2025","$47,742.57"
"11/25/2025","$47,641.85"
"11/24/2025","$47,553.33"
"11/23/2025","$47,410.40"
"11/22/2025","$47,410.40"
"11/21/2025","$47,410.40"
"11/20/2025","$47,341.78"
"11/19/2025","$47,432.25"
"11/18/2025","$47,444.84"
"11/17/2025","$47,533.99"
"11/16/2025","$47,651.31"
"11/15/2025","$47,651.31"
"11/14/2025","$47,651.31"
"11/13/2025","$47,654.01"
"11/12/2025","$47,695.02"
"11/11/2025","$47,711.07"
"11/10/2025","$47,738.48"
"11/9/2025","$47,637.28"
"11/8/2025","$47,637.28"
"11/7/2025","$47,637.28"
"11/6/2025","$47,582.99"
"11/5/2025","$47,680.77"
"11/4/2025","$47,659.32"
"11/3/2025","$47,709.74"
"11/2/2025","$47,698.50"
"11/1/2025","$47,698.50"
"10/31/2025","$47,698.50"
"10/30/2025","$47,712.50"
"10/29/2025","$47,740.65"
"10/28/2025","$47,774.97"
"10/27/2025","$47,792.07"
"10/26/2025","$47,740.40"
"10/25/2025","$47,740.40"
"10/24/2025","$47,740.40"
"10/23/2025","$47,709.45"
"10/22/2025","$32,686.76"
"10/21/2025","$32,708.17"
"10/20/2025","$32,724.50"
"10/19/2025","$32,659.62"
"10/18/2025","$32,659.62"
"10/17/2025","$32,659.62"
"10/16/2025","$32,611.03"
"10/15/2025","$32,729.88"
"10/14/2025","$32,661.66"
"10/13/2025","$32,661.55"
"10/12/2025","$32,515.51"
"10/11/2025","$32,515.51"
"10/10/2025","$32,515.51"
"10/9/2025","$32,702.45"
"10/8/2025","$32,680.00"
"10/7/2025","$32,635.81"
"10/6/2025","$32,664.08"
"10/5/2025","$32,619.85"
"10/4/2025","$32,619.85"
"10/3/2025","$32,619.85"
"10/2/2025","$32,593.95"
"10/1/2025","$32,596.85"
"9/30/2025","$32,591.67"
"9/29/2025","$32,527.43"
"9/28/2025","$32,509.57"
"9/27/2025","$32,509.57"
"9/26/2025","$32,509.57"
"9/25/2025","$32,478.42"
"9/24/2025","$32,518.62"
"9/23/2025","$32,517.62"
"9/22/2025","$32,500.98"
"9/21/2025","$32,459.40"
"9/20/2025","$32,459.40"
"9/19/2025","$32,459.40"
"9/18/2025","$32,440.02"
"9/17/2025","$32,414.78"
"9/16/2025","$32,415.76"
"9/15/2025","$32,417.70"
"9/14/2025","$32,405.84"
"9/13/2025","$32,405.84"
"9/12/2025","$32,405.84"
"9/11/2025","$32,403.70"
"9/10/2025","$32,356.07"
"9/9/2025","$32,342.25"
"9/8/2025","$32,334.16"
"9/7/2025","$32,340.79"
"9/6/2025","$32,340.79"
"9/5/2025","$32,340.79"
"9/4/2025","$32,324.30"
"9/3/2025","$32,283.02"
"9/2/2025","$32,261.06"
"9/1/2025","$32,299.24"
"8/31/2025","$32,299.24"
"8/30/2025","$32,299.24"
"8/29/2025","$32,299.24"
"8/28/2025","$32,298.78"
"8/27/2025","$32,282.72"
"8/26/2025","$32,258.95"
"8/25/2025","$32,228.37"
"8/24/2025","$32,247.81"
"8/23/2025","$32,247.81"
"8/22/2025","$32,247.81"
"8/21/2025","$32,207.80"
"8/20/2025","$32,219.08"
"8/19/2025","$32,207.20"
"8/18/2025","$32,194.70"
"8/17/2025","$32,193.45"
"8/16/2025","$32,193.45"
"8/15/2025","$32,193.45"
"8/14/2025","$32,193.47"
"8/13/2025","$32,189.71"
