"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/14/2026","Reinvest Shares","PM","PHILIP MORRIS INTL INC","0.0676","$167.8799","","-$11.35"
"01/14/2026","Qual Div Reinvest","PM","PHILIP MORRIS INTL INC","","","","$16.22"
"01/09/2026","Reinvest Shares","MO","ALTRIA GROUP INC","0.2482","$57.2961","","-$14.22"
"01/09/2026","Qual Div Reinvest","MO","ALTRIA GROUP INC","","","","$20.32"
"01/08/2026","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$15.11"
"01/06/2026","Reinvest Shares","BBY","BEST BUY INC","0.0392","$69.9601","","-$2.74"
"01/06/2026","Qual Div Reinvest","BBY","BEST BUY INC","","","","$3.92"
"01/05/2026","Reinvest Shares","WMT","WALMART INC","0.0089","$112.3484","","-$1.00"
"01/05/2026","Reinvest Shares","KMB","KIMBERLY CLARK CORP","0.0667","$99.1456","","-$6.61"
"01/05/2026","Qual Div Reinvest","WMT","WALMART INC","","","","$1.43"
"01/05/2026","Qual Div Reinvest","KMB","KIMBERLY CLARK CORP","","","","$9.44"
"01/02/2026","Reinvest Shares","NKE","NIKE INC CLASS B","0.0282","$63.1143","","-$1.78"
"01/02/2026","Qual Div Reinvest","NKE","NIKE INC CLASS B","","","","$2.54"
"12/30/2025","Credit Interest","","SCHWAB1 INT 11/26-12/29","","","","$0.15"
"12/30/2025","Reinvest Shares","TROW","PRICE T ROWE GROUP INC","0.0825","$103.9417","","-$8.58"
"12/30/2025","Qual Div Reinvest","TROW","PRICE T ROWE GROUP INC","","","","$12.26"
"12/26/2025","Reinvest Shares","NVDA","NVIDIA CORP","0.0037","$191.281","","-$0.71"
"12/26/2025","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$1.01"
"12/24/2025","Reinvest Shares","VOO","VANGUARD S&P ...500 ETF","0.008","$634.9299","","-$5.07"
"12/24/2025","Reinvest Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$7.24"
"12/15/2025","Reinvest Shares","O","REALTY INCOME CORP REIT","0.3725","$57.9048","","-$21.57"
"12/15/2025","Reinvest Shares","GOOG","ALPHABET INC CLASS CLASS C","0.0009","$309.0497","","-$0.29"
"12/15/2025","Non-Qualified Div","O","REALTY INCOME CORP REIT","","","","$30.81"
"12/15/2025","Qual Div Reinvest","GOOG","ALPHABET INC CLASS CLASS C","","","","$0.42"
"12/12/2025","Reinvest Shares","MMM","3M CO","0.0485","$169.2975","","-$8.21"
"12/12/2025","Qual Div Reinvest","MMM","3M CO","","","","$11.73"
"12/09/2025","Reinvest Shares","JNJ","JOHNSON & JOHNSON","0.0092","$204.4917","","-$1.89"
"12/09/2025","Qual Div Reinvest","JNJ","JOHNSON & JOHNSON","","","","$2.70"
"11/26/2025","Credit Interest","","SCHWAB1 INT 10/30-11/25","","","","$0.76"
"11/17/2025 as of 11/14/2025","Reinvest Shares","O","REALTY INCOME CORP REIT","0.3793","$56.6774","","-$21.50"
"11/17/2025 as of 11/14/2025","Reinvest Shares","ABBV","ABBVIE INC","0.0632","$232.1131","","-$14.66"
"11/17/2025 as of 11/14/2025","Reinvestment Adj","O","REALTY INCOME CORP REIT","0.3799","$56.595","","$21.50"
"11/17/2025 as of 11/14/2025","Reinvestment Adj","ABBV","ABBVIE INC","0.0635","$231.00","","$14.66"
"11/17/2025","Reinvest Shares","HRL","HORMEL FOODS CORP","0.9446","$22.3475","","-$21.11"
"11/17/2025","Qual Div Reinvest","HRL","HORMEL FOODS CORP","","","","$30.16"
"11/14/2025","Reinvest Shares","O","REALTY INCOME CORP REIT","0.3799","$56.595","","-$21.50"
"11/14/2025","Reinvest Shares","ABBV","ABBVIE INC","0.0635","$231.00","","-$14.66"
"11/14/2025","Reinvest Shares","CL","COLGATE PALMOLIVE CO","0.01","$78.25","","-$0.78"
"11/14/2025","Qual Div Reinvest","ABBV","ABBVIE INC","","","","$20.94"
"11/14/2025","Non-Qualified Div","O","REALTY INCOME CORP REIT","","","","$30.71"
"11/14/2025","Qual Div Reinvest","CL","COLGATE PALMOLIVE CO","","","","$1.11"
"11/13/2025","Reinvest Shares","AAPL","APPLE INC","0.0007","$273.065","","-$0.18"
"11/13/2025","Qual Div Reinvest","AAPL","APPLE INC","","","","$0.26"
"11/06/2025","Reinvest Shares","CLX","CLOROX CO","0.0857","$107.9948","","-$9.25"
"11/06/2025","Qual Div Reinvest","CLX","CLOROX CO","","","","$13.21"
"10/30/2025","Credit Interest","","SCHWAB1 INT 09/29-10/29","","","","$0.66"
"10/20/2025","Reinvest Shares","PM","PHILIP MORRIS INTL INC","0.0714","$157.9659","","-$11.28"
"10/20/2025","Qual Div Reinvest","PM","PHILIP MORRIS INTL INC","","","","$16.12"
"10/15/2025","Reinvest Shares","O","REALTY INCOME CORP REIT","0.3625","$59.1167","","-$21.43"
"10/15/2025","Non-Qualified Div","O","REALTY INCOME CORP REIT","","","","$30.61"
"10/10/2025","Reinvest Shares","MO","ALTRIA GROUP INC","0.2109","$66.657","","-$14.06"
"10/10/2025","Qual Div Reinvest","MO","ALTRIA GROUP INC","","","","$20.09"
"10/09/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$15.62"
"10/09/2025","Reinvest Shares","BBY","BEST BUY INC","0.0362","$75.1699","","-$2.72"
"10/09/2025","Qual Div Reinvest","BBY","BEST BUY INC","","","","$3.89"
"10/02/2025","Reinvest Shares","KMB","KIMBERLY CLARK CORP","0.0535","$122.7302","","-$6.56"
"10/02/2025","Qual Div Reinvest","KMB","KIMBERLY CLARK CORP","","","","$9.37"
"10/01/2025","Reinvest Shares","VOO","VANGUARD S&P ...500 ETF","0.0081","$611.0198","","-$4.97"
"10/01/2025","Reinvest Shares","NKE","NIKE INC CLASS CLASS B","0.0241","$71.8881","","-$1.73"
"10/01/2025","Qual Div Reinvest","NKE","NIKE INC CLASS CLASS B","","","","$2.47"
"10/01/2025","Reinvest Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$7.10"
"09/29/2025","Credit Interest","","SCHWAB1 INT 08/28-09/28","","","","$0.96"
"09/29/2025","Reinvest Shares","TROW","PRICE T ROWE GROUP INC","0.0825","$103.0709","","-$8.50"
"09/29/2025","Qual Div Reinvest","TROW","PRICE T ROWE GROUP INC","","","","$12.15"
"09/15/2025","Reinvest Shares","O","REALTY INCOME CORP REIT","0.3521","$60.5534","","-$21.32"
"09/15/2025","Qualified Dividend","GOOG","ALPHABET INC CLASS C","","","","$0.21"
"09/15/2025","Non-Qualified Div","O","REALTY INCOME CORP REIT","","","","$30.46"
"09/12/2025","Reinvest Shares","MMM","3M CO","0.0512","$159.8287","","-$8.18"
"09/12/2025","Qual Div Reinvest","MMM","3M CO","","","","$11.69"
"09/09/2025","Reinvest Shares","JNJ","JOHNSON & JOHNSON","0.0106","$177.0938","","-$1.88"
"09/09/2025","Qual Div Reinvest","JNJ","JOHNSON & JOHNSON","","","","$2.69"
"09/02/2025","Reinvest Shares","WMT","WALMART INC","0.0102","$97.6023","","-$1.00"
"09/02/2025","Qual Div Reinvest","WMT","WALMART INC","","","","$1.43"
"08/29/2025","Reinvest Shares","CLX","CLOROX CO","0.0771","$119.0073","","-$9.18"
"08/29/2025","Qual Div Reinvest","CLX","CLOROX CO","","","","$13.11"
"08/28/2025","Credit Interest","","SCHWAB1 INT 07/30-08/27","","","","$0.87"
"08/15/2025","Reinvest Shares","O","REALTY INCOME CORP REIT","0.3651","$58.2019","","-$21.25"
"08/15/2025","Reinvest Shares","ABBV","ABBVIE INC","0.071","$205.451","","-$14.58"
"08/15/2025","Reinvest Shares","HRL","HORMEL FOODS CORP","0.7364","$28.4626","","-$20.96"
"08/15/2025","Reinvest Shares","CL","COLGATE PALMOLIVE CO","0.0092","$84.9399","","-$0.78"
"08/15/2025","Qual Div Reinvest","HRL","HORMEL FOODS CORP","","","","$29.95"
