Date,Amount
"1/5/2026","$72,647.04"
"1/4/2026","$72,314.76"
"1/3/2026","$72,314.76"
"1/2/2026","$72,314.76"
"1/1/2026","$71,419.20"
"12/31/2025","$71,419.20"
"12/30/2025","$71,813.22"
"12/29/2025","$72,080.51"
"12/28/2025","$72,528.02"
"12/27/2025","$72,528.02"
"12/26/2025","$72,528.02"
"12/25/2025","$72,315.23"
"12/24/2025","$72,315.23"
"12/23/2025","$72,163.13"
"12/22/2025","$71,151.89"
"12/21/2025","$70,267.94"
"12/20/2025","$70,267.94"
"12/19/2025","$70,267.94"
"12/18/2025","$69,004.06"
"12/17/2025","$68,328.77"
"12/16/2025","$69,927.80"
"12/15/2025","$69,998.32"
"12/14/2025","$69,881.10"
"12/13/2025","$69,881.10"
"12/12/2025","$69,881.10"
"12/11/2025","$71,089.93"
"12/10/2025","$71,426.07"
"12/9/2025","$71,320.57"
"12/8/2025","$71,474.47"
"12/7/2025","$71,245.53"
"12/6/2025","$71,245.53"
"12/5/2025","$71,245.53"
"12/4/2025","$71,569.49"
"12/3/2025","$70,836.48"
"12/2/2025","$70,790.04"
"12/1/2025","$70,368.69"
"11/30/2025","$70,126.33"
"11/29/2025","$70,126.33"
"11/28/2025","$70,126.33"
"11/27/2025","$70,470.14"
"11/26/2025","$70,470.14"
"11/25/2025","$69,824.30"
"11/24/2025","$70,215.31"
"11/23/2025","$69,146.78"
"11/22/2025","$69,146.78"
"11/21/2025","$69,146.78"
"11/20/2025","$69,196.18"
"11/19/2025","$70,154.86"
"11/18/2025","$69,439.68"
"11/17/2025","$70,353.32"
"11/16/2025","$71,104.28"
"11/15/2025","$71,104.28"
"11/14/2025","$71,104.28"
"11/13/2025","$70,690.50"
"11/12/2025","$72,426.64"
"11/11/2025","$72,188.24"
"11/10/2025","$72,712.79"
"11/9/2025","$70,845.52"
"11/8/2025","$70,845.52"
"11/7/2025","$70,845.52"
"11/6/2025","$70,618.16"
"11/5/2025","$71,952.79"
"11/4/2025","$72,135.68"
"11/3/2025","$73,808.17"
"11/2/2025","$73,367.68"
"11/1/2025","$73,367.68"
"10/31/2025","$73,367.68"
"10/30/2025","$73,340.07"
"10/29/2025","$74,059.88"
"10/28/2025","$74,067.11"
"10/27/2025","$72,972.65"
"10/26/2025","$72,176.11"
"10/25/2025","$72,176.11"
"10/24/2025","$72,176.11"
"10/23/2025","$71,713.23"
"10/22/2025","$86,375.09"
"10/21/2025","$86,764.91"
"10/20/2025","$86,924.57"
"10/19/2025","$86,595.20"
"10/18/2025","$86,595.20"
"10/17/2025","$86,595.20"
"10/16/2025","$86,233.79"
"10/15/2025","$86,418.20"
"10/14/2025","$86,154.44"
"10/13/2025","$86,901.49"
"10/12/2025","$85,404.09"
"10/11/2025","$85,404.09"
"10/10/2025","$85,404.09"
"10/9/2025","$87,608.72"
"10/8/2025","$87,446.72"
"10/7/2025","$86,861.96"
"10/6/2025","$87,160.98"
"10/5/2025","$86,771.17"
"10/4/2025","$86,771.17"
"10/3/2025","$86,771.17"
"10/2/2025","$87,327.40"
"10/1/2025","$87,274.73"
"9/30/2025","$86,457.76"
"9/29/2025","$85,807.81"
"9/28/2025","$85,312.65"
"9/27/2025","$85,312.65"
"9/26/2025","$85,312.65"
"9/25/2025","$85,049.29"
"9/24/2025","$85,319.30"
"9/23/2025","$85,468.45"
"9/22/2025","$85,743.52"
"9/21/2025","$85,024.90"
"9/20/2025","$85,024.90"
"9/19/2025","$85,024.90"
"9/18/2025","$84,924.52"
"9/17/2025","$84,238.53"
"9/16/2025","$84,562.14"
"9/15/2025","$84,700.01"
"9/14/2025","$84,612.59"
"9/13/2025","$84,612.59"
"9/12/2025","$84,612.59"
"9/11/2025","$84,254.77"
"9/10/2025","$83,693.23"
"9/9/2025","$82,928.65"
"9/8/2025","$82,267.26"
"9/7/2025","$82,027.41"
"9/6/2025","$82,027.41"
